input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
69,69.957,69.297,68.907,69.162,68.973,69.644,69.097,68.813,68.677,34.539,46.852,61.574,75.648,89.211,103.315,69.505,52.858,60.111,65.763,71.799,77.969,84.608,90.895,77.196,73.176,63.393,68.208
70,70.978,70.297,69.890,70.159,69.976,70.637,70.060,69.808,69.664,35.269,47.645,62.490,76.668,90.353,104.602,70.499,54.202,61.368,66.797,72.696,78.743,85.236,91.381,78.164,74.158,64.463,69.172
71,72.001,71.302,70.901,71.180,70.986,71.637,71.058,70.801,70.672,35.996,48.432,63.401,77.679,91.472,105.856,71.511,55.548,62.619,67.867,73.608,79.541,85.868,91.860,79.136,75.147,65.544,70.161
72,73.021,72.297,71.881,72.172,71.970,72.628,72.075,71.789,71.670,36.718,49.230,64.299,78.702,92.607,107.093,72.512,56.907,63.890,68.959,74.516,80.318,86.485,92.327,80.115,76.139,66.647,71.157
73,74.033,73.288,72.889,73.177,72.932,73.615,73.078,72.760,72.678,37.444,50.061,65.208,79.731,93.757,108.296,73.497,58.269,65.113,70.049,75.428,81.080,87.096,92.778,81.076,77.132,67.749,72.148
74,75.028,74.278,73.869,74.169,73.909,74.614,74.091,73.752,73.671,38.146,50.881,66.142,80.772,94.914,109.529,74.494,59.621,66.363,71.129,76.348,81.818,87.702,93.222,82.012,78.145,68.864,73.156
75,76.024,75.269,74.851,75.170,74.908,75.612,75.086,74.733,74.666,38.849,51.684,67.078,81.830,96.087,110.774,75.501,60.970,67.605,72.177,77.270,82.555,88.298,93.658,82.922,79.119,69.936,74.137
76,77.027,76.260,75.858,76.169,75.898,76.606,76.074,75.694,75.647,39.560,52.480,68.006,82.882,97.263,112.018,76.498,62.346,68.827,73.229,78.194,83.288,88.892,94.090,83.823,80.120,71.022,75.104
77,78.061,77.258,76.839,77.156,76.895,77.607,77.066,76.681,76.640,40.293,53.291,68.981,83.942,98.433,113.255,77.502,63.728,70.067,74.278,79.118,84.031,89.494,94.520,84.694,81.114,72.063,76.078
78,79.065,78.256,77.855,78.183,77.908,78.612,78.066,77.672,77.634,41.045,54.115,69.927,84.998,99.601,114.493,78.511,65.134,71.372,75.360,80.045,84.770,90.096,94.949,85.566,82.118,73.127,77.058
79,80.074,79.272,78.857,79.197,78.926,79.619,79.082,78.692,78.648,41.819,54.955,70.892,86.085,100.806,115.756,79.536,66.596,72.679,76.448,80.976,85.534,90.720,95.379,86.433,83.119,74.203,78.057
80,81.103,80.283,79.868,80.235,79.951,80.649,80.092,79.688,79.640,42.588,55.824,71.859,87.154,101.967,117.013,80.535,68.016,73.943,77.528,81.911,86.296,91.338,95.810,87.283,84.105,75.279,79.064
81,82.137,81.310,80.869,81.236,80.971,81.695,81.099,80.704,80.652,43.355,56.699,72.863,88.208,103.114,118.293,81.540,69.421,75.211,78.626,82.842,87.060,91.949,96.248,88.121,85.081,76.353,80.089
