input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
41,40.829,40.691,40.763,40.674,41.063,40.656,40.669,40.454,7.634,17.047,25.697,35.734,45.262,54.665,64.210,74.088,10.420,19.531,28.264,36.475,44.682,52.816,61.690,70.170,50.323,45.049,34.876,30.513,41.370,30.134
42,41.792,41.621,41.698,41.627,42.028,41.616,41.627,41.386,7.944,17.539,26.380,36.570,46.331,55.904,65.640,75.723,11.190,20.444,29.213,37.432,45.633,53.843,62.738,71.234,51.320,46.008,35.766,31.370,42.321,30.962
43,42.782,42.572,42.645,42.601,43.012,42.598,42.598,42.349,8.283,18.046,27.071,37.421,47.413,57.144,67.112,77.349,11.996,21.398,30.168,38.363,46.576,54.886,63.776,72.268,52.316,47.003,36.703,32.249,43.290,31.796
44,43.795,43.575,43.657,43.623,44.035,43.613,43.595,43.354,8.639,18.600,27.790,38.324,48.547,58.478,68.653,79.030,12.916,22.405,31.162,39.341,47.582,55.969,64.834,73.305,53.330,48.014,37.683,33.153,44.296,32.678
45,44.850,44.619,44.695,44.664,45.095,44.669,44.614,44.391,8.996,19.168,28.538,39.257,49.706,59.860,70.202,80.733,13.936,23.441,32.219,40.364,48.652,57.063,65.881,74.346,54.388,49.024,38.703,34.069,45.338,33.585
46,45.917,45.680,45.793,45.741,46.172,45.745,45.660,45.455,9.396,19.738,29.280,40.187,50.891,61.257,71.777,82.435,15.003,24.500,33.285,41.415,49.759,58.141,66.899,75.328,55.434,50.049,39.792,34.981,46.408,34.488
47,46.990,46.751,46.901,46.805,47.246,46.840,46.706,46.528,9.784,20.327,30.026,41.106,52.081,62.633,73.311,84.170,16.080,25.582,34.365,42.490,50.867,59.192,67.887,76.259,56.444,51.065,40.886,35.881,47.495,35.406
48,48.075,47.806,48.005,47.858,48.308,47.905,47.774,47.616,10.186,20.921,30.790,42.030,53.232,63.961,74.818,85.860,17.190,26.687,35.465,43.553,51.927,60.201,68.849,77.180,57.417,52.046,41.956,36.766,48.603,36.335
49,49.117,48.850,49.061,48.909,49.352,48.974,48.826,48.666,10.593,21.520,31.523,42.950,54.365,65.204,76.272,87.447,18.319,27.777,36.573,44.596,52.929,61.175,69.774,78.043,58.320,53.017,42.983,37.635,49.702,37.271
50,50.150,49.872,50.086,49.912,50.388,50.022,49.831,49.694,10.982,22.112,32.238,43.902,55.481,66.404,77.704,88.974,19.432,28.895,37.678,45.626,53.919,62.111,70.660,78.865,59.192,53.965,43.975,38.518,50.793,38.213
51,51.154,50.863,51.080,50.895,51.386,51.037,50.832,50.688,11.391,22.729,32.970,44.861,56.555,67.593,79.102,90.469,20.556,30.029,38.776,46.660,54.904,63.017,71.513,79.655,60.025,54.901,44.951,39.422,51.863,39.152
52,52.165,51.873,52.066,51.909,52.412,52.019,51.812,51.671,11.800,23.333,33.691,45.814,57.619,68.768,80.460,92.000,21.692,31.182,39.854,47.676,55.875,63.878,72.339,80.400,60.853,55.861,45.926,40.316,52.933,40.077
53,53.159,52.872,53.064,52.923,53.447,53.024,52.815,52.669,12.211,23.948,34.443,46.748,58.682,69.957,81.808,93.538,22.871,32.351,40.940,48.726,56.845,64.739,73.155,81.124,61.689,56.826,46.921,41.220,53.994,41.023
54,54.182,53.907,54.088,53.965,54.492,54.032,53.830,53.684,12.640,24.569,35.213,47.670,59.773,71.190,83.164,95.082,24.108,33.525,42.119,49.762,57.799,65.614,73.974,81.850,62.535,57.775,47.898,42.127,55.039,41.976
55,55.239,54.953,55.143,55.004,55.546,55.086,54.888,54.740,13.088,25.208,35.992,48.601,60.872,72.490,84.549,96.675,25.417,34.730,43.333,50.821,58.752,66.504,74.793,82.565,63.405,58.764,48.890,43.071,56.127,42.957
56,56.287,55.968,56.186,56.061,56.618,56.144,55.956,55.817,13.564,25.869,36.786,49.542,61.979,73.796,85.963,98.285,26.761,35.987,44.530,51.895,59.739,67.381,75.592,83.274,64.300,59.769,49.896,44.058,57.262,43.972
57,57.324,56.997,57.236,57.095,57.650,57.191,57.000,56.860,14.049,26.533,37.609,50.488,63.080,75.077,87.363,99.903,28.100,37.302,45.729,52.991,60.716,68.261,76.389,83.971,65.230,60.820,50.894,45.088,58.398,45.018
58,58.324,58.016,58.259,58.109,58.679,58.212,58.013,57.868,14.556,27.184,38.431,51.422,64.156,76.346,88.775,101.495,29.449,38.597,46.934,54.075,61.658,69.125,77.171,84.643,66.156,61.860,51.885,46.145,59.528,46.076
59,59.335,59.013,59.262,59.089,59.684,59.213,59.019,58.871,15.055,27.824,39.231,52.341,65.194,77.548,90.140,103.038,30.796,39.881,48.161,55.116,62.585,69.947,77.918,85.288,67.085,62.870,52.872,47.223,60.623,47.145
60,60.335,59.984,60.254,60.087,60.668,60.198,60.005,59.854,15.561,28.458,39.984,53.247,66.232,78.762,91.492,104.524,32.095,41.145,49.389,56.172,63.497,70.782,78.644,85.903,68.049,63.897,53.849,48.292,61.717,48.202
61,61.334,60.990,61.240,61.070,61.691,61.204,60.995,60.845,16.076,29.107,40.740,54.175,67.303,79.969,92.852,106.023,33.444,42.423,50.614,57.261,64.407,71.594,79.351,86.508,69.019,64.927,54.855,49.381,62.790,49.304
62,62.326,62.006,62.252,62.065,62.698,62.190,61.993,61.850,16.590,29.770,41.472,55.098,68.385,81.157,94.192,107.477,34.790,43.723,51.801,58.343,65.300,72.397,80.042,87.109,70.049,65.950,55.873,50.505,63.868,50.426
63,63.328,63.004,63.252,63.081,63.697,63.210,62.985,62.846,17.117,30.435,42.229,56.034,69.474,82.334,95.535,108.953,36.174,45.041,52.980,59.426,66.231,73.221,80.737,87.710,71.111,67.012,56.889,51.671,64.928,51.555
64,64.331,64.009,64.255,64.103,64.711,64.203,63.971,63.855,17.662,31.115,43.000,56.981,70.534,83.486,96.881,110.420,37.568,46.331,54.159,60.520,67.163,74.049,81.420,88.284,72.167,68.086,57.944,52.864,66.006,52.692
65,65.321,64.976,65.253,65.104,65.704,65.188,64.923,64.807,18.202,31.788,43.767,57.911,71.569,84.640,98.201,111.824,38.981,47.604,55.372,61.598,68.084,74.848,82.077,88.832,73.216,69.140,59.049,54.054,67.097,53.838
66,66.316,65.961,66.231,66.079,66.689,66.151,65.890,65.763,18.738,32.463,44.538,58.830,72.591,85.805,99.503,113.224,40.408,48.884,56.569,62.655,69.034,75.652,82.717,89.371,74.233,70.188,60.133,55.256,68.171,54.929
67,67.309,66.933,67.203,67.029,67.661,67.124,66.866,66.725,19.283,33.135,45.301,59.753,73.598,86.944,100.747,114.630,41.820,50.206,57.728,63.688,69.954,76.433,83.346,89.891,75.220,71.200,61.221,56.434,69.249,56.006
68,68.293,67.915,68.175,67.985,68.645,68.106,67.831,67.697,19.831,33.820,46.072,60.671,74.630,88.088,102.023,116.025,43.243,51.532,58.895,64.725,70.879,77.202,83.978,90.401,76.208,72.181,62.307,57.588,70.312,57.111
69,69.297,68.907,69.162,68.973,69.644,69.097,68.813,68.677,20.403,34.539,46.852,61.574,75.648,89.211,103.315,117.434,44.666,52.858,60.111,65.763,71.799,77.969,84.608,90.895,77.196,73.176,63.393,58.726,71.373,58.213
70,70.297,69.890,70.159,69.976,70.637,70.060,69.808,69.664,20.980,35.269,47.645,62.490,76.668,90.353,104.602,118.814,46.095,54.202,61.368,66.797,72.696,78.743,85.236,91.381,78.164,74.158,64.463,59.890,72.446,59.316
71,71.302,70.901,71.180,70.986,71.637,71.058,70.801,70.672,21.590,35.996,48.432,63.401,77.679,91.472,105.856,120.184,47.533,55.548,62.619,67.867,73.608,79.541,85.868,91.860,79.136,75.147,65.544,61.075,73.512,60.429
72,72.297,71.881,72.172,71.970,72.628,72.075,71.789,71.670,22.210,36.718,49.230,64.299,78.702,92.607,107.093,121.551,48.991,56.907,63.890,68.959,74.516,80.318,86.485,92.327,80.115,76.139,66.647,62.277,74.566,61.543
73,73.288,72.889,73.177,72.932,73.615,73.078,72.760,72.678,22.818,37.444,50.061,65.208,79.731,93.757,108.296,122.903,50.429,58.269,65.113,70.049,75.428,81.080,87.096,92.778,81.076,77.132,67.749,63.469,75.628,62.651
74,74.278,73.869,74.169,73.909,74.614,74.091,73.752,73.671,23.423,38.146,50.881,66.142,80.772,94.914,109.529,124.260,51.852,59.621,66.363,71.129,76.348,81.818,87.702,93.222,82.012,78.145,68.864,64.648,76.680,63.740
75,75.269,74.851,75.170,74.908,75.612,75.086,74.733,74.666,24.031,38.849,51.684,67.078,81.830,96.087,110.774,125.601,53.307,60.970,67.605,72.177,77.270,82.555,88.298,93.658,82.922,79.119,69.936,65.804,77.750,64.808
76,76.260,75.858,76.169,75.898,76.606,76.074,75.694,75.647,24.639,39.560,52.480,68.006,82.882,97.263,112.018,126.951,54.809,62.346,68.827,73.229,78.194,83.288,88.892,94.090,83.823,80.120,71.022,66.975,78.801,65.866
77,77.258,76.839,77.156,76.895,77.607,77.066,76.681,76.640,25.259,40.293,53.291,68.981,83.942,98.433,113.255,128.300,56.370,63.728,70.067,74.278,79.118,84.031,89.494,94.520,84.694,81.114,72.063,68.151,79.864,66.956
78,78.256,77.855,78.183,77.908,78.612,78.066,77.672,77.634,25.882,41.045,54.115,69.927,84.998,99.601,114.493,129.622,57.953,65.134,71.372,75.360,80.045,84.770,90.096,94.949,85.566,82.118,73.127,69.351,80.946,68.051
79,79.272,78.857,79.197,78.926,79.619,79.082,78.692,78.648,26.511,41.819,54.955,70.892,86.085,100.806,115.756,131.003,59.496,66.596,72.679,76.448,80.976,85.534,90.720,95.379,86.433,83.119,74.203,70.550,82.021,69.172
80,80.283,79.868,80.235,79.951,80.649,80.092,79.688,79.640,27.145,42.588,55.824,71.859,87.154,101.967,117.013,132.398,61.040,68.016,73.943,77.528,81.911,86.296,91.338,95.810,87.283,84.105,75.279,71.759,83.078,70.299
81,81.310,80.869,81.236,80.971,81.695,81.099,80.704,80.652,27.813,43.355,56.699,72.863,88.208,103.114,118.293,133.810,62.593,69.421,75.211,78.626,82.842,87.060,91.949,96.248,88.121,85.081,76.353,72.957,84.154,71.444
82,82.342,81.882,82.254,82.002,82.740,82.117,81.736,81.663,28.494,44.123,57.586,73.883,89.266,104.259,119.561,135.187,64.128,70.875,76.499,79.743,83.758,87.818,92.576,96.695,88.952,86.031,77.425,74.134,85.244,72.587
83,83.354,82.918,83.274,83.021,83.766,83.147,82.751,82.673,29.188,44.909,58.463,74.870,90.312,105.379,120.833,136.536,65.648,72.307,77.788,80.857,84.689,88.593,93.207,97.135,89.748,86.941,78.477,75.280,86.335,73.721
84,84.357,83.905,84.270,84.017,84.763,84.155,83.742,83.652,29.904,45.685,59.337,75.843,91.350,106.492,122.028,137.873,67.178,73.736,79.104,81.948,85.613,89.347,93.812,97.562,90.527,87.816,79.509,76.414,87.411,74.839
85,85.351,84.885,85.267,85.003,85.758,85.131,84.717,84.623,30.611,46.472,60.200,76.776,92.364,107.607,123.251,139.158,68.721,75.131,80.412,83.050,86.524,90.081,94.415,97.992,91.298,88.657,80.552,77.536,88.484,75.942
86,86.315,85.832,86.241,85.975,86.752,86.092,85.678,85.591,31.308,47.256,61.045,77.696,93.381,108.688,124.448,140.398,70.225,76.496,81.684,84.148,87.412,90.792,95.004,98.413,92.045,89.480,81.588,78.630,89.550,77.029
